Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2014-01-01,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-02,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-03,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-04,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-05,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-06,"1,860",0,0,0,"1,440",0,0,0,0
2014-01-07,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-08,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-09,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-10,"1,860",0,0,0,"1,440",0,0,0,0
2014-01-11,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-12,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-13,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-14,"1,860",0,0,0,"1,440",0,0,0,0
2014-01-15,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-16,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-17,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-18,"1,860",0,0,0,"1,440",0,0,0,0
2014-01-19,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-20,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-21,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-22,"1,860",0,0,0,"1,440",0,0,0,0
2014-01-23,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-24,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-25,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-26,"1,860",0,0,0,"1,440",0,0,0,0
2014-01-27,"1,860",0,0,0,"1,440",0,0,0,0
2014-01-28,"1,861",0,0,0,"1,440",0,0,0,0
2014-01-29,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-30,"1,862",0,0,0,"1,440",0,0,0,0
2014-01-31,"1,860",0,0,0,"1,440",0,0,0,0
