Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-05-01,"2,774","11,345",6,15,"1,136",255,16,33,"1,355"
2015-05-02,"3,580","19,812",10.38,41,"1,000",297,57,86,"2,314"
2015-05-03,"1,895","2,511",1.24,3,"1,390",31,3,16,255
2015-05-04,"2,439","6,336",3.56,25,"1,204",224,6,6,954
2015-05-05,"2,701","13,630",6.63,28,"1,218",152,22,48,"1,231"
2015-05-06,"3,083","18,162",9.24,30,"1,154",171,43,72,"1,654"
2015-05-07,"2,394","8,510",4.3,17,"1,283",127,4,26,823
2015-05-08,"3,327","13,564",7.21,22,"1,027",358,22,33,"2,016"
2015-05-09,"3,436","16,993",8.82,27,"1,032",290,61,57,"2,145"
2015-05-10,"2,386","5,120",2.95,21,"1,216",224,0,0,867
2015-05-11,"2,696","9,120",4.55,27,"1,165",245,11,19,"1,239"
2015-05-12,"2,380","7,410",3.74,28,"1,287",114,11,28,769
2015-05-13,"2,750","11,812",6.14,27,"1,171",217,19,33,"1,300"
2015-05-14,"3,104","16,785",8.46,18,"1,150",195,24,71,"1,700"
2015-05-15,"3,856","19,294",9.96,33,921,397,55,67,"2,647"
2015-05-16,"1,854","1,115",0.52,2,"1,072",7,2,9,112
2015-05-17,"2,491","7,780",4.26,22,"1,231",176,29,4,942
2015-05-18,"2,693","11,580",6.81,49,"1,248",123,19,50,"1,168"
2015-05-19,"2,780","12,763",6.68,15,"1,149",256,24,11,"1,354"
2015-05-20,"2,365","5,597",3.31,11,"1,254",186,0,0,795
2015-05-21,"2,752","5,819",3.24,1,"1,205",209,4,22,"1,138"
2015-05-22,"4,450","23,048",11.51,74,990,277,62,111,"2,678"
2015-05-23,"3,603","19,433",10.03,133,"1,033",294,45,68,"2,279"
2015-05-24,"3,200","15,437",7.8,94,"1,103",245,40,52,"1,793"
2015-05-25,"3,381","15,017",8.1,16,"1,029",354,50,7,"1,968"
2015-05-26,"2,352","5,655",2.98,4,"1,282",135,16,7,749
2015-05-27,"2,354","6,650",7.13,2,"1,305",85,28,22,768
2015-05-28,"2,330","4,931",2.6,2,"1,308",87,23,22,684
2015-05-29,"2,274","6,633",3.62,16,"1,272",168,0,0,722
2015-05-30,"1,877","1,610",0.93,2,"1,391",49,0,0,219
2015-05-31,"1,726",124,0.08,0,"1,432",8,0,0,28
