Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-12-01,"2,461","7,614",3.42,33,"1,311",73,27,29,815
2015-12-02,"2,123","2,485",0.83,30,"1,351",79,5,5,482
2015-12-03,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-04,"2,037","2,044",0.66,4,"1,359",81,0,0,384
2015-12-05,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-06,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-07,"2,120","2,943",0.9,9,"1,344",73,21,2,490
2015-12-08,"2,037","2,252",0.71,4,"1,361",68,10,1,376
2015-12-09,"1,740",7,0,0,"1,439",1,0,0,3
2015-12-10,"2,053","2,119",0.69,3,"1,352",81,7,0,409
2015-12-11,"1,905","1,035",0.47,4,"1,410",30,0,0,193
2015-12-12,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-13,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-14,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-15,"2,003","2,677",1.1,12,"1,385",32,13,10,327
2015-12-16,"1,919","2,434",1.1,0,"1,395",22,21,2,232
2015-12-17,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-18,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-19,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-20,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-21,"2,267","5,487",2.7,35,"1,363",44,2,31,613
2015-12-22,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-23,"1,739",0,0,0,"1,440",0,0,0,0
2015-12-24,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-25,"1,739",0,0,0,"1,440",0,0,0,0
2015-12-26,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-27,"1,739",0,0,0,"1,440",0,0,0,0
2015-12-28,"1,738",0,0,0,"1,440",0,0,0,0
2015-12-29,"1,944","1,740",0.79,6,"1,387",53,0,0,260
2015-12-30,"2,119","2,034",0.82,4,"1,367",73,0,0,451
2015-12-31,"1,822",486,0.22,3,"1,422",18,0,0,93
