Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-02-01,"2,728","5,674",2.56,19,708,204,13,31,"1,207"
2015-02-02,"2,954","10,191",4.76,25,"1,108",288,11,33,"1,514"
2015-02-03,"2,563",0,0,0,"1,440",0,0,0,0
2015-02-04,"3,148","16,085",7.44,46,"1,143",202,21,74,"1,652"
2015-02-05,"2,995","14,373",8.31,30,654,193,19,61,"1,482"
2015-02-06,"2,760","11,606",5.29,15,753,185,27,49,"1,253"
2015-02-07,"3,083","17,227",8.89,40,"1,177",112,46,105,"1,632"
2015-02-08,"2,994","12,731",6.09,31,"1,169",199,24,48,"1,453"
2015-02-09,"3,150","14,068",6.66,29,"1,065",306,26,43,"1,792"
2015-02-10,"2,971","13,912",6.51,42,756,150,36,65,"1,446"
2015-02-11,"2,474","8,206",3.89,35,"1,249",164,7,20,935
2015-02-12,"3,207","16,644",8.96,40,"1,139",214,32,55,"1,727"
2015-02-13,"2,708","10,406",4.78,37,"1,197",216,15,12,"1,185"
2015-02-14,"2,515","8,940",4.21,24,"1,235",161,16,28,995
2015-02-15,"1,716",98,0.04,0,"1,436",4,0,0,16
2015-02-16,"3,033","14,363",6.56,32,"1,067",318,18,37,"1,683"
2015-02-17,"2,893","12,996",5.75,39,"1,144",221,28,47,"1,479"
2015-02-18,"1,698",45,0.02,0,"1,438",2,0,0,7
2015-02-19,"2,317","8,019",4.14,20,"1,332",53,16,39,750
2015-02-20,"2,725","9,558",4.35,15,"1,159",235,22,24,"1,280"
2015-02-21,"2,695","10,445",5.07,18,"1,206",199,14,21,"1,190"
2015-02-22,"1,694",0,0,0,"1,440",0,0,0,0
2015-02-23,"2,757","10,934",5.03,39,"1,145",251,10,34,"1,320"
2015-02-24,"1,695",9,0,0,"1,440",0,0,0,0
2015-02-25,"2,768","10,163",4.49,32,"1,185",176,46,33,"1,321"
2015-02-26,"2,686","10,574",4.87,32,719,228,13,27,"1,228"
2015-02-27,"2,854","11,567",5.39,17,"1,134",267,4,35,"1,395"
2015-02-28,"2,952","12,730",6.12,22,"1,130",265,14,31,"1,544"
