Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2014-04-01,"1,822",0,0,0,"1,440",0,0,0,0
2014-04-02,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-03,"2,051","1,834",0.83,0,"1,385",32,16,7,247
2014-04-04,"3,257","16,614",7.52,0,"1,147",101,106,86,"1,681"
2014-04-05,"3,340","17,155",7.76,0,"1,106",124,124,86,"1,819"
2014-04-06,"2,541","6,599",2.98,0,"1,246",110,63,21,868
2014-04-07,"2,619","7,094",3.2,0,"1,214",135,75,16,972
2014-04-08,"1,854",176,0.08,0,"1,427",12,1,0,45
2014-04-09,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-10,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-11,"2,955","10,542",4.76,0,"1,100",202,110,28,"1,468"
2014-04-12,"2,682","8,296",3.75,0,"1,226",101,91,22,"1,000"
2014-04-13,"2,495","4,723",2.13,0,"1,211",170,54,5,863
2014-04-14,"2,679","8,465",3.97,0,"1,248",104,44,44,"1,000"
2014-04-15,"2,746","8,849",4.16,0,"1,220",113,73,34,"1,078"
2014-04-16,"2,135","2,901",1.31,0,"1,340",60,36,4,415
2014-04-17,"1,878",522,0.24,0,"1,423",11,4,2,73
2014-04-18,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-19,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-20,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-21,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-22,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-23,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-24,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-25,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-26,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-27,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-28,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-29,"1,821",0,0,0,"1,440",0,0,0,0
2014-04-30,"1,821",0,0,0,"1,440",0,0,0,0
